,P_ADM,P_ANN,P_DIS,P_DGS,P_GRT,P_MNT,P_MIX,P_NEU,P_SAT
G_ADM,0.9537037037037037,0.0,0.0,0.0,0.0,0.0,0.0,0.009259259259259259,0.037037037037037035
G_ANN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
G_DIS,0.0,0.017094017094017096,0.9743589743589743,0.008547008547008548,0.0,0.0,0.0,0.0,0.0
G_DGS,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
G_GRT,0.6666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
G_MNT,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
G_MIX,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
G_NEU,0.023255813953488372,0.0,0.0,0.0,0.0,0.16279069767441862,0.0,0.813953488372093,0.0
G_SAT,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9848484848484849
